iter	Passed	Remaining
320	15837	106571
321	15884	106502
322	15921	106376
323	15962	106268
324	16011	106216
325	16059	106161
326	16103	106079
327	16141	105956
328	16178	105827
329	16220	105729
330	16278	105739
331	16336	105746
332	16385	105693
333	16418	105537
334	16462	105455
335	16501	105342
336	16531	105172
337	16566	105034
338	16597	104871
339	16650	104852
340	16694	104771
341	16742	104713
342	16782	104607
343	16818	104481
344	16861	104394
345	16903	104306
346	16953	104259
347	16997	104180
348	17030	104034
349	17073	103954
350	17112	103847
351	17152	103744
352	17203	103708
353	17248	103637
354	17294	103572
355	17341	103511
356	17372	103360
357	17412	103256
358	17450	103147
359	17495	103074
360	17538	102997
361	17583	102927
362	17632	102882
363	17682	102840
364	17724	102755
365	17766	102669
366	17808	102578
367	17853	102509
368	17903	102470
369	17957	102451
370	17997	102355
371	18034	102245
372	18072	102137
373	18110	102026
374	18150	101932
375	18188	101828
376	18224	101710
377	18264	101615
378	18305	101525
379	18357	101497
380	18393	101379
381	18439	101322
382	18475	101206
383	18524	101159
384	18571	101106
385	18606	100988
386	18645	100886
387	18679	100765
388	18732	100742
389	18781	100697
390	18825	100629
391	18868	100552
392	18907	100455
393	18954	100399
394	18990	100286
395	19038	100241
396	19082	100171
397	19125	100095
398	19164	100001
399	19202	99901
400	19254	99874
401	19288	99753
402	19329	99668
403	19373	99601
404	19415	99523
405	19460	99461
406	19517	99459
407	19560	99382
408	19610	99346
409	19648	99246
410	19698	99209
411	19732	99093
412	19774	99017
413	19814	98929
414	19862	98883
415	19897	98770
416	19934	98667
417	19972	98572
418	20016	98506
419	20065	98465
420	20112	98413
421	20165	98390
422	20200	98278
423	20239	98188
424	20278	98099
425	20315	98000
426	20364	97961
427	20408	97894
428	20443	97786
429	20481	97692
430	20534	97669
431	20586	97642
432	20635	97599
433	20673	97509
434	20716	97440
435	20772	97429
436	20823	97400
437	20873	97363
438	20921	97317
439	20967	97259
440	21007	97176
441	21046	97091
442	21079	96974
443	21120	96895
444	21161	96818
445	21203	96746
446	21249	96693
447	21290	96616
448	21328	96523
449	21371	96454
450	21401	96329
451	21436	96229
452	21459	96070
453	21491	95954
454	21527	95857
455	21573	95801
456	21616	95739
457	21657	95663
458	21699	95592
459	21746	95542
460	21789	95478
461	21831	95407
462	21876	95348
463	21911	95247
464	21951	95169
465	21990	95085
466	22021	94972
467	22070	94931
468	22108	94844
469	22148	94765
470	22186	94679
471	22231	94624
472	22283	94598
473	22330	94551
474	22380	94516
475	22415	94418
476	22456	94345
477	22509	94322
478	22546	94232
479	22592	94180
480	22633	94111
481	22682	94072
482	22731	94030
483	22779	93987
484	22822	93926
485	22873	93895
486	22917	93834
487	22973	93824
488	23028	93811
489	23068	93733
490	23109	93663
491	23157	93617
492	23197	93544
493	23245	93498
494	23290	93443
495	23333	93381
496	23372	93302
497	23425	93279
498	23479	93259
499	23525	93208
500	23563	93126
501	23602	93047
502	23641	92967
503	23686	92914
504	23734	92868
505	23775	92798
506	23830	92782
507	23881	92753
508	23933	92725
509	23973	92650
510	24021	92608
511	24071	92570
512	24114	92509
513	24162	92467
514	24203	92395
515	24252	92356
516	24303	92325
517	24342	92247
518	24384	92180
519	24420	92094
520	24448	91976
521	24490	91909
522	24528	91828
523	24564	91741
524	24610	91693
525	24654	91635
526	24696	91568
527	24733	91484
528	24778	91433
529	24828	91395
530	24881	91374
531	24926	91320
532	24954	91203
533	24994	91132
534	25053	91128
535	25090	91046
536	25136	90998
537	25193	90986
538	25240	90939
539	25284	90882
540	25326	90820
541	25374	90776
542	25417	90717
543	25465	90675
544	25509	90618
545	25548	90542
546	25602	90522
547	25641	90448
548	25689	90403
549	25723	90312
550	25765	90249
551	25804	90174
552	25837	90079
553	25922	90168
554	26029	90329
555	26089	90328
556	26144	90308
557	26198	90285
558	26234	90201
559	26286	90171
560	26341	90151
561	26372	90051
562	26413	89983
563	26464	89950
564	26497	89856
565	26546	89816
566	26590	89760
567	26639	89722
568	26679	89649
569	26726	89603
570	26771	89552
571	26815	89493
572	26866	89462
573	26918	89431
574	26961	89372
575	27000	89297
576	27039	89224
577	27082	89165
578	27134	89137
579	27176	89073
580	27219	89013
581	27271	88983
582	27312	88917
583	27348	88834
584	27391	88774
585	27446	88756
586	27486	88686
587	27524	88613
588	27563	88539
589	27606	88479
590	27663	88465
591	27704	88400
592	27753	88363
593	27792	88289
594	27836	88235
595	27875	88163
596	27921	88112
597	27968	88069
598	28019	88035
599	28061	87974
600	28100	87902
601	28149	87861
602	28198	87821
603	28237	87752
604	28280	87691
605	28323	87634
606	28369	87586
607	28416	87539
608	28450	87454
609	28492	87393
610	28546	87367
611	28592	87318
612	28637	87267
613	28686	87227
614	28726	87160
615	28762	87082
616	28805	87022
617	28852	86976
618	28907	86956
619	28951	86902
620	28996	86848
621	29035	86779
622	29077	86718
623	29119	86658
624	29160	86596
625	29225	86601
626	29280	86581
627	29334	86554
628	29371	86479
629	29418	86433
630	29463	86383
631	29509	86333
632	29553	86277
633	29602	86240
634	29661	86228
635	29709	86184
636	29749	86120
637	29787	86046
638	29834	86003
639	29885	85968
640	29918	85880
641	29962	85827
642	30004	85767
643	30048	85712
644	30085	85638
645	30134	85598
646	30181	85553
647	30225	85499
648	30262	85424
649	30309	85380
650	30351	85318
651	30398	85274
652	30434	85197
653	30477	85141
654	30510	85055
655	30553	84998
656	30596	84944
657	30639	84886
658	30675	84810
659	30725	84773
660	30771	84726
661	30811	84661
662	30857	84612
663	30898	84551
664	30939	84489
665	30981	84432
666	31023	84374
667	31064	84310
668	31101	84238
669	31144	84184
670	31189	84133
671	31229	84067
672	31274	84019
673	31309	83942
674	31354	83890
675	31398	83838
676	31438	83774
677	31477	83706
678	31508	83621
679	31562	83594
680	31603	83533
681	31644	83472
682	31679	83397
683	31719	83333
684	31759	83270
685	31796	83198
686	31841	83148
687	31878	83079
688	31920	83021
689	31967	82975
690	32014	82932
691	32057	82877
692	32100	82822
693	32153	82792
694	32184	82706
695	32239	82682
696	32274	82608
697	32321	82563
698	32368	82518
699	32407	82454
700	32456	82414
701	32504	82373
702	32552	82329
703	32602	82294
704	32650	82251
705	32703	82220
706	32760	82203
707	32803	82148
708	32844	82088
709	32888	82036
710	32925	81966
711	32970	81916
712	33004	81840
713	33056	81806
714	33087	81723
715	33122	81650
716	33170	81608
717	33217	81562
718	33253	81492
719	33297	81439
720	33340	81385
721	33380	81325
722	33434	81297
723	33471	81229
724	33515	81177
725	33562	81133
726	33600	81067
727	33653	81037
728	33700	80992
729	33754	80964
730	33796	80907
731	33833	80840
732	33883	80801
733	33915	80723
734	33950	80648
735	33998	80606
736	34038	80546
737	34095	80526
738	34139	80474
739	34178	80411
740	34225	80367
741	34261	80297
742	34302	80239
743	34343	80180
744	34393	80144
745	34437	80093
746	34480	80037
747	34512	79959
748	34549	79892
749	34593	79841
750	34645	79810
751	34695	79772
752	34740	79722
753	34774	79648
754	34815	79591
755	34854	79528
756	34891	79461
757	34938	79418
758	34986	79376
759	35035	79337
760	35078	79283
761	35117	79221
762	35163	79176
763	35213	79139
764	35248	79066
765	35294	79020
766	35338	78970
767	35389	78935
768	35431	78879
769	35479	78838
770	35519	78779
771	35578	78761
772	35623	78713
773	35667	78661
774	35709	78607
775	35753	78555
776	35795	78501
777	35852	78478
778	35902	78440
779	35949	78397
780	36003	78369
781	36041	78304
782	36091	78266
783	36138	78222
784	36171	78147
785	36216	78101
786	36264	78058
787	36302	77994
788	36350	77953
789	36400	77914
790	36437	77849
791	36483	77803
792	36533	77766
793	36582	77725
794	36618	77658
795	36652	77586
796	36695	77534
797	36733	77472
798	36779	77425
799	36822	77372
800	36864	77319
801	36910	77272
802	36959	77232
803	37004	77184
804	37034	77104
805	37068	77034
806	37117	76994
807	37157	76937
808	37215	76915
809	37266	76879
810	37325	76859
811	37361	76794
812	37401	76735
813	37441	76676
814	37487	76631
815	37529	76575
816	37590	76560
817	37645	76533
818	37693	76490
819	37730	76427
820	37778	76385
821	37829	76348
822	37869	76290
823	37921	76258
824	37973	76224
825	38015	76168
826	38055	76110
827	38103	76068
828	38143	76011
829	38204	75994
830	38251	75950
831	38352	76012
832	38417	76003
833	38468	75968
834	38563	76019
835	38608	75969
836	38656	75928
837	38697	75870
838	38741	75820
839	38792	75784
840	38824	75710
841	38868	75658
842	38909	75603
843	38955	75556
844	38999	75507
845	39052	75473
846	39092	75416
847	39148	75388
848	39191	75336
849	39230	75276
850	39279	75234
851	39325	75188
852	39363	75126
853	39405	75073
854	39446	75018
855	39497	74980
856	39529	74908
857	39578	74866
858	39620	74812
859	39664	74762
860	39727	74748
861	39789	74732
862	39833	74682
863	39895	74665
864	39929	74597
865	39974	74548
866	40011	74484
867	40061	74445
868	40099	74385
869	40144	74336
870	40198	74305
871	40239	74249
872	40285	74202
873	40340	74173
874	40393	74140
875	40443	74099
876	40497	74068
877	40545	74025
878	40591	73978
879	40632	73923
880	40674	73869
881	40718	73819
882	40763	73771
883	40808	73722
884	40849	73667
885	40897	73624
886	40936	73565
887	40964	73486
888	41014	73447
889	41058	73397
890	41101	73346
891	41136	73279
892	41182	73234
893	41219	73171
894	41269	73131
895	41302	73062
896	41345	73011
897	41398	72978
898	41451	72943
899	41492	72888
900	41533	72833
901	41589	72804
902	41633	72755
903	41687	72722
904	41738	72684
905	41800	72666
906	41881	72680
907	41929	72637
908	41966	72575
909	42001	72510
910	42047	72463
911	42097	72424
912	42146	72383
913	42192	72337
914	42239	72291
915	42284	72243
916	42321	72182
917	42356	72116
918	42397	72061
919	42437	72005
920	42488	71966
921	42530	71913
922	42569	71856
923	42618	71814
924	42659	71759
925	42700	71705
926	42743	71653
927	42789	71607
928	42834	71560
929	42897	71541
930	42931	71475
931	42977	71429
932	43018	71373
933	43057	71316
934	43099	71263
935	43139	71207
936	43180	71153
937	43218	71094
938	43257	71036
939	43303	70990
940	43341	70930
941	43393	70894
942	43443	70854
943	43491	70811
944	43531	70755
945	43589	70729
946	43629	70673
947	43675	70626
948	43728	70591
949	43775	70547
950	43829	70513
951	43880	70476
952	43936	70445
953	43989	70411
954	44031	70357
955	44069	70298
956	44118	70257
957	44172	70223
958	44212	70169
959	44262	70128
960	44297	70064
961	44338	70011
962	44384	69964
963	44423	69907
964	44477	69873
965	44530	69838
966	44585	69806
967	44628	69754
968	44678	69715
969	44726	69672
970	44774	69629
971	44809	69565
972	44854	69517
973	44899	69469
974	44948	69427
975	44987	69371
976	45030	69320
977	45074	69270
978	45113	69213
979	45163	69173
980	45218	69141
981	45274	69110
982	45315	69056
983	45368	69021
984	45417	68978
985	45471	68945
986	45521	68904
987	45575	68869
988	45627	68832
989	45669	68781
990	45713	68731
991	45755	68679
992	45808	68642
993	45857	68601
994	45915	68572
995	45966	68534
996	46030	68515
997	46063	68449
998	46106	68398
999	46160	68364
1000	46207	68318
1001	46252	68270
1002	46288	68209
1003	46341	68173
1004	46389	68129
1005	46434	68082
1006	46484	68042
1007	46537	68005
1008	46585	67961
