iter	Logloss
143	0.2997229685
144	0.2997014736
145	0.2996665363
146	0.2996412779
147	0.299615245
148	0.2995831729
149	0.2995606574
150	0.2995362142
151	0.2995085364
152	0.2994961255
153	0.2994823462
154	0.2994607912
155	0.2994151831
156	0.29940652
157	0.2993904193
158	0.2993752628
159	0.2993514596
160	0.2993296547
161	0.2993131257
162	0.2992994554
163	0.299284856
164	0.2992697199
165	0.2992595209
166	0.2992416097
167	0.2992189379
168	0.299209939
169	0.299193567
170	0.2991791334
171	0.2991371588
172	0.2991232893
173	0.2991019344
174	0.2990865034
175	0.2990631337
176	0.2990512982
177	0.2990426992
178	0.2990314583
179	0.2990113581
180	0.298999027
181	0.298980389
182	0.298967448
183	0.2989561528
184	0.2989391345
185	0.2989241157
186	0.2989011657
187	0.2988869664
188	0.298865799
189	0.2988482931
190	0.2988381483
191	0.2988255014
192	0.2988143538
193	0.2988038266
194	0.2987859593
195	0.2987371262
196	0.2987166959
197	0.2987036128
198	0.2986908123
199	0.2986813433
200	0.2986718328
201	0.2986584234
202	0.2986462727
203	0.2986330188
204	0.2986225354
205	0.2986119197
206	0.2985961833
207	0.2985763167
208	0.2985656331
209	0.2985393871
210	0.29852328
211	0.298502261
212	0.2984874032
213	0.298468694
214	0.2984610161
215	0.2984484932
216	0.2984360711
217	0.2984212501
218	0.2983979142
219	0.2983816438
220	0.2983686698
221	0.2983535281
222	0.298339196
223	0.2983307309
224	0.2983194139
225	0.2983078532
226	0.2982927634
227	0.2982732339
228	0.2982632346
229	0.2982524061
230	0.2982406783
231	0.2982210899
232	0.2982068208
233	0.2981975273
234	0.2981888236
235	0.2981731262
236	0.2981606683
237	0.298146897
238	0.2981303208
239	0.2981173311
240	0.2981020203
241	0.2980825214
242	0.2980728403
243	0.298063712
244	0.298050754
245	0.2980375436
246	0.2980313725
247	0.2980144828
248	0.2980027317
249	0.2979885579
250	0.2979774856
251	0.2979682503
252	0.297961198
253	0.297954822
254	0.297939665
255	0.2979300042
256	0.2979242233
257	0.2979095838
258	0.2978960221
259	0.2978879991
260	0.2978769334
261	0.2978689555
262	0.2978618734
263	0.2978526381
264	0.2978277714
265	0.2978151523
266	0.2978071815
267	0.2977946744
268	0.2977824402
269	0.2977701113
270	0.2977512907
271	0.297748046
272	0.2977357113
273	0.2977258705
274	0.2977155442
275	0.2977028755
276	0.297690989
277	0.2976732519
278	0.2976590358
279	0.2976515581
280	0.2976425201
281	0.2976341091
282	0.2976263603
283	0.2976170706
284	0.2976084385
285	0.2975993845
286	0.2975930691
287	0.2975846589
288	0.2975718919
289	0.2975628658
290	0.2975488555
291	0.2975415246
292	0.297531003
293	0.2975201924
294	0.2975115455
295	0.297505731
296	0.2974932956
297	0.2974889531
298	0.2974791112
299	0.2974603574
300	0.2974463981
301	0.2974366574
302	0.2974231122
303	0.297410509
304	0.2974033948
305	0.2973955338
306	0.2973888118
307	0.2973836677
308	0.2973773759
309	0.2973597329
310	0.2973532912
311	0.2973422726
312	0.2973353239
313	0.2973310963
314	0.2973189137
315	0.2973119231
316	0.2973042587
317	0.2972948382
318	0.2972893498
319	0.2972727101
320	0.2972594489
321	0.2972516537
322	0.2972435276
323	0.2972364575
324	0.2972293684
325	0.2972232238
326	0.2972128501
327	0.2972049178
328	0.2971970135
329	0.2971909319
330	0.2971864423
331	0.2971786992
332	0.2971717825
333	0.2971608913
334	0.2971524744
335	0.2971425443
336	0.2971321474
337	0.2971232619
338	0.2971179859
339	0.2971085024
340	0.2971022622
341	0.2970916894
342	0.2970832904
343	0.2970734142
344	0.2970619776
345	0.2970496638
346	0.2970391692
347	0.2970345362
348	0.2970285739
349	0.2970155513
350	0.2970116
351	0.2970035662
352	0.2969979523
353	0.2969905525
354	0.2969840073
355	0.2969743787
356	0.296967133
357	0.2969569621
358	0.2969482499
359	0.2969421293
360	0.2969340739
361	0.2969287139
362	0.2969213832
363	0.2969060178
364	0.2968964647
365	0.2968872906
366	0.2968785044
367	0.2968715767
368	0.29686413
369	0.2968535939
370	0.2968426267
371	0.2968343656
372	0.2968274846
373	0.2968229361
374	0.2968133111
375	0.2968040775
376	0.296798786
377	0.2967898649
378	0.2967815422
379	0.2967734811
380	0.2967667388
381	0.2967622514
382	0.2967563326
383	0.2967505105
384	0.2967454595
385	0.2967392184
386	0.2967266975
387	0.2967192688
388	0.2967119251
389	0.2967071878
390	0.2967010722
391	0.2966933309
392	0.2966867959
393	0.2966772406
394	0.2966715716
395	0.2966604215
396	0.2966552848
397	0.2966500404
398	0.2966429701
399	0.2966315785
400	0.2966231515
401	0.2966135814
402	0.2966086194
403	0.2966015228
404	0.2965982284
405	0.296589767
406	0.2965818775
407	0.2965704169
408	0.2965626802
409	0.296559166
410	0.2965492752
411	0.2965406387
412	0.2965334976
413	0.2965277682
414	0.2965204577
415	0.2965143089
416	0.2965053289
417	0.2965001118
418	0.2964933514
419	0.2964798103
420	0.2964740761
421	0.2964688852
422	0.296462409
423	0.2964529642
424	0.2964471569
425	0.2964395274
426	0.2964344401
427	0.296430804
428	0.2964251337
429	0.2964191126
430	0.2964088
431	0.2964030482
432	0.2963968933
433	0.2963902624
434	0.2963823567
435	0.2963764399
436	0.2963706028
437	0.2963621082
438	0.2963574603
439	0.2963509743
440	0.2963454664
441	0.2963399075
442	0.2963290977
443	0.2963218626
444	0.2963138271
445	0.296302594
446	0.2962948106
447	0.2962880368
448	0.2962818536
449	0.2962750465
450	0.2962719339
451	0.2962684461
452	0.296261462
453	0.2962557013
454	0.2962442409
455	0.2962346457
456	0.2962281508
457	0.2962226142
458	0.2962146514
459	0.2962071428
460	0.2962019992
461	0.2961970865
462	0.296192191
463	0.2961872195
464	0.2961793323
465	0.2961749666
466	0.2961659967
467	0.2961579624
468	0.2961515744
469	0.2961462706
470	0.2961403213
471	0.2961349361
472	0.2961299537
473	0.2961230425
474	0.2961165901
475	0.2961093671
476	0.2961017862
477	0.2960913389
478	0.2960853461
479	0.2960788628
480	0.2960720125
481	0.2960670788
482	0.2960656028
483	0.2960590669
484	0.2960530867
485	0.2960463659
486	0.2960425775
487	0.2960342694
488	0.2960279377
489	0.2960240089
490	0.2960182988
491	0.2960158934
492	0.2960110132
493	0.2960032057
494	0.295999007
495	0.2959927848
496	0.2959870212
497	0.2959821936
498	0.2959770233
499	0.2959698776
500	0.2959617873
