iter	Logloss
0	0.4915821515
1	0.405056782
2	0.3673566795
3	0.3496361806
4	0.3361736612
5	0.3268902031
6	0.3227448807
7	0.3193153409
8	0.3173340597
9	0.3144416681
10	0.3132903194
11	0.3125572456
12	0.3113038019
13	0.3108575152
14	0.3098620126
15	0.3094884383
16	0.3091449035
17	0.3089281591
18	0.3084415203
19	0.3079757796
20	0.3075409749
21	0.3072820565
22	0.3069416075
23	0.3067274615
24	0.3064527681
25	0.3063359835
26	0.306246503
27	0.3060381761
28	0.3059162094
29	0.3057819842
30	0.305669187
31	0.3055789079
32	0.3054913024
33	0.3053708753
34	0.3051363015
35	0.3049503625
36	0.3048595683
37	0.3047822514
38	0.3046971406
39	0.3045705383
40	0.3044815316
41	0.3044384981
42	0.304385085
43	0.3042585256
44	0.3041518009
45	0.3040465179
46	0.3039990781
47	0.3039149099
48	0.3038752407
49	0.3038190177
50	0.3037558628
51	0.3036418695
52	0.3036139272
53	0.3035592051
54	0.3034119737
55	0.303353843
56	0.3032615263
57	0.3031653604
58	0.3030703866
59	0.3029761757
60	0.3029364385
61	0.3028601982
62	0.3027601794
63	0.3027079026
64	0.3026280897
65	0.302570368
66	0.3025152678
67	0.30248853
68	0.302444922
69	0.3023779362
70	0.3022931987
71	0.3022430832
72	0.3022072401
73	0.3021504582
74	0.3020872496
75	0.3019514335
76	0.301914908
77	0.301878506
78	0.301832264
79	0.3017371234
80	0.3017092469
81	0.3016516013
82	0.3016230559
83	0.3015885337
84	0.3015413191
85	0.3014726135
86	0.3014306167
87	0.3013795456
88	0.3013402008
89	0.3012989874
90	0.3012631391
91	0.3012179744
92	0.301149135
93	0.3011022494
94	0.301071113
95	0.3010430817
96	0.3009992041
97	0.3009529994
98	0.300930585
99	0.3008945653
100	0.3008598747
101	0.300832056
102	0.300808037
103	0.300771226
104	0.3007473766
105	0.3007298821
106	0.3006987912
107	0.3006781021
108	0.3006573139
109	0.3006357416
110	0.3006165752
111	0.3005959489
112	0.3005788451
113	0.300556796
114	0.3005128721
115	0.3004797355
116	0.3004488588
117	0.300422193
118	0.3004020533
119	0.3003814244
120	0.3003589081
121	0.3003222042
122	0.3003035272
123	0.3002723493
124	0.3002159962
125	0.3001886452
126	0.3001555054
127	0.3001266295
128	0.3001024782
129	0.3000688787
130	0.3000477737
131	0.3000357794
132	0.3000215906
133	0.2999848649
134	0.2999563308
135	0.2999363767
136	0.2998975468
137	0.2998824827
138	0.2998553285
139	0.2998323195
140	0.299820553
141	0.2997796218
142	0.2997485515
